Company Name,Ticker,PE (Forward)
Adobe Inc.,ADBE,15.259257
"Advanced Micro Devices, Inc.",AMD,13.726036
"Airbnb, Inc.",ABNB,21.374752
Alphabet Inc.,GOOGL,14.265769
Alphabet Inc.,GOOG,14.475444
"Amazon.com, Inc.",AMZN,22.556717
"American Electric Power Company, Inc.",AEP,16.596931
Amgen Inc.,AMGN,13.673696
"Analog Devices, Inc.",ADI,18.685692
"ANSYS, Inc.",ANSS,22.569944
Apple Inc.,AAPL,22.996365
"Applied Materials, Inc.",AMAT,12.533023
AppLovin Corporation,APP,23.04096
Arm Holdings plc,ARM,43.44531
ASML Holding N.V.,ASML,21.084896
AstraZeneca PLC,AZN,13.427609
Atlassian Corporation,TEAM,43.57892
"Autodesk, Inc.",ADSK,22.536133
"Automatic Data Processing, Inc.",ADP,26.246294
"Axon Enterprise, Inc.",AXON,68.76599
Baker Hughes Company,BKR,11.864475
Biogen Inc.,BIIB,7.814873
Booking Holdings Inc.,BKNG,17.637352
Broadcom Inc.,AVGO,18.644836
"Cadence Design Systems, Inc.",CDNS,30.01205
CDW Corporation,CDW,13.705647
"Charter Communications, Inc.",CHTR,7.855105
Cintas Corporation,CTAS,39.35015
"Cisco Systems, Inc.",CSCO,13.6109085
Coca-Cola Europacific Partners PLC,CCEP,18.148283
Cognizant Technology Solutions Corporation,CTSH,12.850135
Comcast Corporation,CMCSA,7.0255055
Constellation Energy Corporation,CEG,16.506073
"Copart, Inc.",CPRT,30.529432
"CoStar Group, Inc.",CSGP,53.992565
Costco Wholesale Corporation,COST,45.701088
"CrowdStrike Holdings, Inc.",CRWD,70.13837
CSX Corporation,CSX,13.124131
"Datadog, Inc.",DDOG,41.614407
"DexCom, Inc.",DXCM,24.196615
"Diamondback Energy, Inc.",FANG,8.392706
"DoorDash, Inc.",DASH,26.170965
Electronic Arts Inc.,EA,18.132782
Exelon Corporation,EXC,16.148443
Fastenal Company,FAST,31.555826
"Fortinet, Inc.",FTNT,30.107443
GE HealthCare Technologies Inc.,GEHC,11.572953
"Gilead Sciences, Inc.",GILD,12.846403
GLOBALFOUNDRIES Inc.,GFS,12.773471
Honeywell International Inc.,HON,16.641384
"IDEXX Laboratories, Inc.",IDXX,29.06179
Intel Corporation,INTC,17.377525
Intuit Inc.,INTU,25.275827
"Intuitive Surgical, Inc.",ISRG,47.66549
Keurig Dr Pepper Inc.,KDP,15.527195
KLA Corporation,KLAC,17.68415
The Kraft Heinz Company,KHC,10.580917
Lam Research Corporation,LRCX,15.110716
Linde plc,LIN,24.129004
lululemon athletica inc.,LULU,15.74305
"Marriott International, Inc.",MAR,18.7065
"Marvell Technology, Inc.",MRVL,13.409801
"MercadoLibre, Inc.",MELI,28.337244
"Meta Platforms, Inc.",META,17.421783
Microchip Technology Incorporated,MCHP,28.725286
"Micron Technology, Inc.",MU,5.826751
Microsoft Corporation,MSFT,23.967619
Strategy Incorporated,MSTR,-2669.1816
"Mondelez International, Inc.",MDLZ,20.359226
"MongoDB, Inc.",MDB,44.086235
Monster Beverage Corporation,MNST,28.02628
"Netflix, Inc.",NFLX,28.229416
NVIDIA Corporation,NVDA,16.379747
NXP Semiconductors N.V.,NXPI,11.2558365
"O'Reilly Automotive, Inc.",ORLY,28.035194
"Old Dominion Freight Line, Inc.",ODFL,23.06795
ON Semiconductor Corporation,ON,8.926419
PACCAR Inc,PCAR,10.800815
Palantir Technologies Inc.,PLTR,105.91923
"Palo Alto Networks, Inc.",PANW,42.202896
"Paychex, Inc.",PAYX,27.163336
"PayPal Holdings, Inc.",PYPL,10.370804
PDD Holdings Inc.,PDD,0.96342635
"PepsiCo, Inc.",PEP,16.651276
QUALCOMM Incorporated,QCOM,10.410132
"Regeneron Pharmaceuticals, Inc.",REGN,12.253698
"Roper Technologies, Inc.",ROP,25.09902
"Ross Stores, Inc.",ROST,18.224129
Starbucks Corporation,SBUX,22.61247
"Synopsys, Inc.",SNPS,22.763409
"Take-Two Interactive Software, Inc.",TTWO,25.747154
"T-Mobile US, Inc.",TMUS,19.328356
"Tesla, Inc.",TSLA,68.7543
Texas Instruments Incorporated,TXN,20.649958
"The Trade Desk, Inc.",TTD,21.080946
"Verisk Analytics, Inc.",VRSK,36.080254
Vertex Pharmaceuticals Incorporated,VRTX,23.208393
"Warner Bros. Discovery, Inc.",WBD,-216.4119
"Workday, Inc.",WDAY,21.546133
Xcel Energy Inc.,XEL,16.432686
"Zscaler, Inc.",ZS,48.274452
