Ticker,Trailing P/E
AAPL,28.85
MSFT,28.84
AMZN,31.75
GOOGL,18.25
META,21.63
TSLA,114.36
NVDA,33.21
PYPL,14.67
ADBE,22.49
NFLX,43.7
CSCO,23.86
INTC,N/A
PEP,20.6
COST,52.98
CMCSA,8.08
AMGN,38.27
TMUS,25.56
TXN,29.67
QCOM,13.99
HON,21.52
CHTR,9.52
SBUX,25.81
INTU,52.13
ISRG,72.33
GILD,277.68
AMD,83.64
BKNG,24.59
MDLZ,19.07
FISV,N/A
ADP,29.32
ROST,20.23
KDP,32.0
MAR,25.61
ORLY,32.76
LRCX,18.91
ASML,29.4
KLAC,25.46
SNPS,45.84
CDNS,60.89
NXPI,16.78
CRWD,N/A
PANW,86.12
WDAY,110.42
TEAM,N/A
DDOG,169.62
ZS,N/A
FTNT,38.94
MRNA,N/A
BIIB,10.66
DXCM,43.4
EBAY,15.49
IDXX,35.52
ILMN,N/A
KHC,12.62
LULU,18.1
MELI,47.54
MNST,38.33
ODFL,27.68
PCAR,11.16
REGN,14.93
SGEN,N/A
SIRI,N/A
SWKS,16.42
VRSK,41.69
VRTX,N/A
WBA,N/A
XEL,19.49
ZM,21.2
AEP,18.2
ALGN,27.29
ANSS,43.45
CEG,15.13
CPRT,36.39
CSGP,222.79
CTAS,44.31
DLTR,15.08
EA,34.34
ENPH,74.35
EXC,18.24
FAST,36.08
GEHC,14.05
GFS,N/A
IQV,20.43
JD,9.44
LCID,N/A
LNT,22.23
MTCH,13.79
OKTA,1520.67
PAYX,29.15
PTON,N/A
ROKU,N/A
SPLK,Error: 'NoneType' object has no attribute 'update'
TTD,59.41
VRSN,29.31
WBD,N/A
ZBRA,21.95
